GeneID,gene_type,locus,strand,sex-linked,avg ICRA,avg UCRA,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
PISD,mRNA,NW_005054330.1:6581125-6594749,-,-,1710,1748,10.75572215,-0.032,0.032,0.746897638,0.945140444,no,2,0,0
AAK1,mRNA,NW_005054647.1:156671-221326,-,-,5618,5448,12.43384621,0.044,0.044,0.690458426,0.938111147,no,2,0,0
DCAF6,mRNA,NW_005054338.1:2206532-2265251,-,-,6082,7127,12.68923363,-0.229,0.229,0.092972854,0.722895553,no,2,0,0
HSBP1,mRNA,NW_005054373.1:195855-199656,-,-,1249,1312,10.32249154,-0.072,0.072,0.506844819,0.898239691,no,2,0,0
JARID2,mRNA,NW_005054325.1:5332796-5544929,+,-,4275,4662,12.12557491,-0.125,0.125,0.289346221,0.825026339,no,2,0,0
CTSZ,mRNA,NW_005054356.1:1318373-1323635,+,-,4070,3687,11.92128309,0.143,0.143,0.259709438,0.813863022,no,2,0,0
RLIM,mRNA,NW_005054500.1:927517-935397,-,-,2641,2853,11.4236412,-0.111,0.111,0.324303964,0.839780896,no,2,0,0
SELENOS,mRNA,NW_005054366.1:1135965-1140232,-,-,1530,1564,10.59525748,-0.032,0.032,0.807174385,0.959432808,no,2,0,0
RAD21,mRNA,NW_005054321.1:2635076-2652826,-,-,6418,7605,12.7755074,-0.245,0.245,0.047626375,0.626209636,no,2,0,0
TIAL1,mRNA,NW_005054451.1:467331-479579,+,-,2531,2847,11.39285404,-0.169,0.169,0.146183527,0.764592895,no,2,0,0
LOC102040199,mRNA,NW_005054314.1:3526207-3565157,+,-,12330,13852,13.67628769,-0.168,0.168,0.197659132,0.788526547,no,2,0,0
ACTR1A,mRNA,NW_005054300.1:5000916-5010116,+,-,2877,3163,11.56033283,-0.137,0.137,0.155039321,0.769280694,no,2,0,0
FAM91A1,mRNA,NW_005054321.1:5280262-5305856,+,-,658,619,9.31854281,0.089,0.089,0.492166144,0.892683727,no,2,0,0
GGA3,mRNA,NW_005054370.1:2777921-2795262,+,-,771,794,9.611946942,-0.042,0.042,0.703641212,0.938111147,no,2,0,0
GNAI3,mRNA,NW_005054425.1:1778659-1808952,+,-,1151,1010,10.07748336,0.19,0.19,0.140713762,0.760138493,no,2,0,0
LETM2,mRNA,NW_005054597.1:460646-475091,+,-,2220,2128,11.08613623,0.062,0.062,0.605163536,0.921241726,no,2,0,0
ZNF710,mRNA,NW_005054366.1:3533338-3553157,+,-,493,430,8.850186838,0.199,0.199,0.106090959,0.729949345,no,2,0,0
COPB2,mRNA,NW_005054388.1:13675-27494,+,-,6607,7436,12.77756355,-0.171,0.171,0.071664135,0.689856701,no,2,0,0
HNRNPU,mRNA,NW_005054299.1:14585534-14597625,-,-,1772,1831,10.81498294,-0.047,0.047,0.671089837,0.937384081,no,2,0,0
FBXW11,mRNA,NW_005054494.1:807346-856839,-,-,2181,2434,11.17211493,-0.158,0.158,0.18455908,0.786863894,no,2,0,0
TCERG1,mRNA,NW_005054308.1:12242112-12269532,+,-,1935,2111,10.9822806,-0.126,0.126,0.279157779,0.822422336,no,2,0,0
AAR2,mRNA,NW_005054481.1:190145-196871,+,-,374,417,8.627533884,-0.158,0.158,0.222217381,0.802735308,no,2,0,0
GP1BB,mRNA,NW_005054330.1:3384197-3386682,-,-,11690,11315,13.48965984,0.047,0.047,0.71225455,0.939160728,no,2,0,0
SCRIB,mRNA,NW_005054699.1:28081-134684,+,-,7491,7595,12.88092271,-0.02,0.02,0.876455662,0.979463035,no,2,0,0
USP33,mRNA,NW_005054347.1:907967-938606,+,-,2012,2262,11.06137119,-0.169,0.169,0.179061387,0.784725112,no,2,0,0
HGS,mRNA,NW_005054578.1:320565-329849,-,-,5104,5665,12.39459667,-0.151,0.151,0.198582271,0.788526547,no,2,0,0
CTNND1,mRNA,NW_005054416.1:1771677-1785148,-,-,1513,1441,10.52845411,0.07,0.07,0.532515645,0.90378814,no,2,0,0
EIF2B2,mRNA,NW_005054301.1:6140960-6146089,-,-,904,959,9.863411959,-0.087,0.087,0.439334417,0.878720686,no,2,0,0
TOGARAM1,mRNA,NW_005054303.1:16060922-16092509,-,-,679,676,9.404077136,0.006,0.006,0.961427795,0.99457364,no,2,0,0
ACTR3,mRNA,NW_005054298.1:5877105-5904679,+,-,5121,5690,12.40021236,-0.152,0.152,0.207694333,0.793036487,no,2,0,0
UBA2,mRNA,NW_005054484.1:12393-26383,+,-,1167,1207,10.21310422,-0.048,0.048,0.621796426,0.923865459,no,2,0,0
ATP6V0B,mRNA,NW_005054347.1:2413346-2416961,+,-,3683,3396,11.78932986,0.117,0.117,0.349163229,0.855919457,no,2,0,0
CMC4,mRNA,NW_005054314.1:7929590-7933094,+,-,143,141,7.14974712,0.019,0.019,0.875132606,0.979259664,no,2,0,0
MARCHF7,mRNA,NW_005054523.1:943219-962371,+,-,4142,4986,12.15608308,-0.268,0.268,0.027543629,0.522387709,no,2,0,0
RBM12,mRNA,NW_005054481.1:1163825-1174813,+,-,1400,1484,10.49385545,-0.084,0.084,0.489299217,0.892348714,no,2,0,0
TCP11L2,mRNA,NW_005054334.1:381270-396640,+,-,10570,11726,13.44449729,-0.15,0.15,0.21804084,0.801610666,no,2,0,0
STRIP1,mRNA,NW_005054425.1:1917535-1931144,+,-,4141,4663,12.10394343,-0.171,0.171,0.065348402,0.675587157,no,2,0,0
MTMR9,mRNA,NW_005054377.1:2575641-2597141,-,-,606,559,9.18611424,0.117,0.117,0.323273342,0.839467106,no,2,0,0
DNAJA2,mRNA,NW_005054408.1:2401133-2409606,-,-,5106,5610,12.38747887,-0.136,0.136,0.219856784,0.802735308,no,2,0,0
LRRFIP2,mRNA,NW_005054785.1:9986-72050,+,-,1272,1388,10.37721053,-0.124,0.124,0.263256655,0.815682743,no,2,0,0
TMEM41B,mRNA,NW_005054416.1:238668-251078,-,-,615,646,9.30035256,-0.072,0.072,0.55674593,0.909956662,no,2,0,0
SCAMP2,mRNA,NW_005054313.1:10105944-10114752,+,-,563,526,9.088788239,0.098,0.098,0.375948093,0.863039399,no,2,0,0
VAC14,mRNA,NW_005054343.1:3075394-3130927,-,-,447,456,8.818582177,-0.031,0.031,0.764167163,0.949357354,no,2,0,0
SASS6,mRNA,NW_005054336.1:5165992-5176790,-,-,2886,3025,11.52918651,-0.068,0.068,0.525884504,0.902797035,no,2,0,0
RDX,mRNA,NW_005054302.1:4310294-4338601,+,-,2914,3107,11.5557874,-0.093,0.093,0.432172984,0.878720686,no,2,0,0
ZC3H14,mRNA,NW_005054301.1:777922-798187,-,-,969,1049,9.978710459,-0.115,0.115,0.333988913,0.846031591,no,2,0,0
UVRAG,mRNA,NW_005054397.1:889981-977174,+,-,1291,1541,10.46760555,-0.255,0.255,0.015651968,0.419288924,no,2,0,0
GLG1,mRNA,NW_005054343.1:2874688-2957396,+,-,2021,2156,11.02825143,-0.093,0.093,0.37657493,0.863039399,no,2,0,0
PIP5K1C,mRNA,NW_005054441.1:999116-1025846,-,-,1177,1233,10.23481743,-0.066,0.066,0.483478985,0.8900586,no,2,0,0
ITFG1,mRNA,NW_005054408.1:2476203-2543628,-,-,1481,1645,10.61010206,-0.152,0.152,0.114938667,0.734010438,no,2,0,0
THOC5,mRNA,NW_005054448.1:27795-41186,-,-,2415,2472,11.25473339,-0.034,0.034,0.764654688,0.949586862,no,2,0,0
TNPO3,mRNA,NW_005054687.1:23341-43299,+,-,2915,2971,11.52307183,-0.027,0.027,0.778091884,0.952389552,no,2,0,0
ARL8B,mRNA,NW_005054420.1:1267536-1275854,+,-,2220,2254,11.12734954,-0.022,0.022,0.829153422,0.966877243,no,2,0,0
TMX4,mRNA,NW_005054341.1:1325378-1339082,+,-,3742,4055,11.92870342,-0.116,0.116,0.253477589,0.813140194,no,2,0,0
ARMH3,mRNA,NW_005054300.1:5684868-5809274,-,-,3737,4059,11.92851838,-0.119,0.119,0.223078978,0.803042678,no,2,0,0
LRP12,mRNA,NW_005054353.1:3100253-3137446,-,-,1027,1062,10.02859678,-0.048,0.048,0.638846785,0.926784186,no,2,0,0
PI4K2A,mRNA,NW_005054300.1:6130761-6135440,+,-,701,667,9.417852515,0.072,0.072,0.524819957,0.902797035,no,2,0,0
DDX1,mRNA,NW_005054318.1:4088908-4108730,-,-,3183,3620,11.73195537,-0.186,0.186,0.093257896,0.722895553,no,2,0,0
FBXW5,mRNA,NW_005054358.1:293956-306392,+,-,3774,3737,11.87478928,0.014,0.014,0.867760541,0.977602414,no,2,0,0
GLYR1,mRNA,NW_005054383.1:19423-44778,-,-,5409,6182,12.50071742,-0.192,0.192,0.070285562,0.689856701,no,2,0,0
TMEM59,mRNA,NW_005054345.1:2290841-2299012,-,-,5857,5927,12.52454172,-0.017,0.017,0.878858973,0.9797449,no,2,0,0
MEF2A,mRNA,NW_005054366.1:549885-597727,+,-,3077,3250,11.62730588,-0.079,0.079,0.474564137,0.8900586,no,2,0,0
AP2A2,mRNA,NW_005054312.1:9546769-9577910,+,-,7945,8917,13.04148804,-0.166,0.166,0.097590018,0.724708975,no,2,0,0
CDC27,mRNA,NW_005054584.1:192527-213520,-,-,1918,1998,10.93516505,-0.059,0.059,0.582407979,0.917051237,no,2,0,0
SFPQ,mRNA,NW_005054478.1:515756-532947,+,-,1635,1517,10.62205182,0.109,0.109,0.293742807,0.829544162,no,2,0,0
YME1L1,mRNA,NW_005054360.1:1444663-1462321,+,-,3700,4023,11.91494566,-0.12,0.12,0.235137648,0.807695195,no,2,0,0
DET1,mRNA,NW_005054313.1:693989-720018,-,-,690,711,9.45224124,-0.042,0.042,0.656418335,0.932155058,no,2,0,0
IP6K2,mRNA,NW_005054339.1:5366834-5384730,+,-,2905,2984,11.52380696,-0.039,0.039,0.680837197,0.937506953,no,2,0,0
IQCE,mRNA,NW_005054319.1:1386419-1411434,+,-,1805,2066,10.91849059,-0.195,0.195,0.033456183,0.563571013,no,2,0,0
HBS1L,mRNA,NW_005054392.1:1487128-1593101,+,-,1504,1577,10.58918297,-0.068,0.068,0.452697259,0.882946379,no,2,0,0
LOC102043157,mRNA,NW_005054518.1:822900-824236,-,-,0,0,-3.321928095,0,0,1,NA,no,0,0,0
OTC,mRNA,NW_005054374.1:2003952-2035159,+,-,0,0,-3.321928095,0,0,0.925173699,NA,no,0,0,0
FSTL4,mRNA,NW_005054308.1:2317184-2521256,-,-,0,0,-3.321928095,0,0,0.495044058,NA,no,0,0,0
FMN2,mRNA,NW_005054348.1:2465-156820,-,-,2,1,0.584962501,0.852,0.852,0.611183702,0.923158717,no,0,0,0
RCAN2,mRNA,NW_005054659.1:94493-175807,-,-,1,1,0,0.453,0.453,0.788027186,NA,no,0,0,0
LOC102040351,mRNA,NW_005056582.1:1059-3084,+,-,0,0,-3.321928095,0,0,0.955988792,NA,no,0,0,0
LOC115948613,lnc_RNA,NW_005054447.1:163385-164823,-,-,0,0,-3.321928095,0,0,1,NA,no,0,0,0
PDLIM3,mRNA,NW_005054297.1:18279877-18303186,+,-,3,1,1,1.301,1.301,0.363017919,NA,no,0,1,0
LOC115948285,guide_RNA,NW_005054370.1:1512339-1512494,-,-,0,3,0.584962501,-3.694,3.694,0.008345362,NA,no,0,1,0
EGFLAM,mRNA,NW_005054401.1:1434380-1509260,+,-,0,0,-3.321928095,0,0,0.693956484,NA,no,0,0,0
LOC115948385,mRNA,NW_005054387.1:1562878-1563794,+,-,2,0,0,3.653,3.653,0.033535477,NA,no,0,1,0
SNPH,mRNA,NW_005054337.1:2302978-2308800,-,-,0,2,0,-3.584,3.584,0.130813809,NA,no,0,1,0
GREB1,mRNA,NW_005054318.1:5712610-5800159,-,-,2,3,1.321928095,-0.235,0.235,0.84359977,NA,no,0,0,0
MYRIP,mRNA,NW_005054361.1:2024373-2215013,-,-,0,0,-3.321928095,0,0,0.960048253,NA,no,0,0,0
LOC102033360,mRNA,NW_005054717.1:65894-79273,-,-,3,1,1,1.498,1.498,0.283504988,NA,no,0,1,0
SDC2,mRNA,NW_005054344.1:5595932-5620798,+,-,0,1,-1,-1.864,1.864,0.226539897,NA,no,0,1,0
LOC102036338,mRNA,NW_005054721.1:34554-53639,+,+,4,0,1,3.505,3.505,0.087260338,NA,no,0,1,0
DSCAM,mRNA,NW_005054656.1:11077-130618,+,-,0,0,-3.321928095,0,0,0.606147508,NA,no,0,0,0
LOC115949049,mRNA,NW_005054723.1:110694-112806,+,+,1,0,-1,2.477,2.477,0.19377577,NA,no,0,1,0
LOC115949085,mRNA,NW_005054753.1:59081-59980,-,+,2,0,0,3.489,3.489,0.09620439,NA,no,0,1,0
ABLIM2,mRNA,NW_005054372.1:2636537-2743255,+,-,76,7,5.375039431,3.449,3.449,0.002368656,0.15808533,no,1,1,0
SH3TC1,mRNA,NW_005054372.1:2571088-2599558,-,-,65,7,5.169925001,3.209,3.209,0.00342967,0.205487887,no,1,1,0
MYMK,mRNA,NW_005054329.1:3646341-3654382,+,-,1,0,-1,1.09,1.09,0.377560432,NA,no,0,1,0
LOC102036318,transcript,NW_005054403.1:1694340-1696790,-,-,3,3,1.584962501,0.063,0.063,0.967093612,NA,no,0,0,0
HSD17B2,mRNA,NW_005054503.1:733556-745634,-,-,1,0,-1,2.057,2.057,0.175428018,NA,no,0,1,0
TRPM8,mRNA,NW_005054533.1:35148-93223,-,-,2,1,0.584962501,0.574,0.574,0.735684449,NA,no,0,0,0
HTR4,mRNA,NW_005054308.1:11172595-11224718,+,-,0,1,-1,-1.22,1.22,0.39467803,NA,no,0,1,0
LOC102040752,mRNA,NW_005054772.1:81686-82435,-,-,2,0,0,3.386,3.386,0.001149352,NA,no,0,1,0
SGK2,mRNA,NW_005054337.1:5994831-6013470,+,-,1,0,-1,1.435,1.435,0.329965317,NA,no,0,1,0
PCSK4,mRNA,NW_005054491.1:1050136-1056699,+,-,2,1,0.584962501,1.278,1.278,0.357118789,NA,no,0,1,0
SCN4A,mRNA,NW_005054839.1:1081-31442,+,-,1,0,-1,1.166,1.166,0.454679053,NA,no,0,1,0
LOC102044702,mRNA,NW_005054448.1:1463416-1465212,-,-,0,0,-3.321928095,0,0,0.773082102,NA,no,0,0,0
TXLNB,mRNA,NW_005054316.1:4085225-4118780,-,-,2,2,1,0.35,0.35,0.778853653,NA,no,0,0,0
RASGEF1C,mRNA,NW_005054308.1:4942098-5008741,-,-,1,1,0,0.265,0.265,0.851033947,NA,no,0,0,0
HMCN1,mRNA,NW_005054357.1:4251938-4416380,+,-,2,0,0,1.958,1.958,0.205297019,NA,no,0,1,0
LOC102042834,mRNA,NW_005054754.1:62002-105182,-,-,7,1,2,3.246,3.246,0.194561927,NA,no,0,1,0
WNT7A,mRNA,NW_005054509.1:782904-817490,+,-,0,0,-3.321928095,0,0,0.7624414,NA,no,0,0,0
ATP6V0D2,mRNA,NW_005054344.1:1606357-1626154,+,-,2,1,0.584962501,1.231,1.231,0.281885697,NA,no,0,1,0
EDA2R,mRNA,NW_005054456.1:888265-896449,+,-,2,0,0,2.999,2.999,0.018851988,NA,no,0,1,0
MEIOB,mRNA,NW_005054399.1:1412924-1425184,-,-,1,0,-1,2.291,2.291,0.193329207,NA,no,0,1,0
RSPH3,mRNA,NW_005054316.1:5900516-5908129,-,-,4,0,1,3.195,3.195,0.006454972,NA,no,0,1,0
LOC102036633,mRNA,NW_005054314.1:8369360-8376127,+,-,8,11,3.247927513,-0.373,0.373,0.715546675,0.940358884,no,1,0,0
LOC102033555,pseudogene,NW_005054370.1:1431178-1432323,-,-,2,1,0.584962501,0.417,0.417,0.769007166,NA,no,0,0,0
GJC1,mRNA,NW_005054518.1:373820-377707,-,-,2,2,1,0.495,0.495,0.73684852,NA,no,0,0,0
RXRG,mRNA,NW_005054421.1:2090559-2114197,+,-,2,1,0.584962501,0.792,0.792,0.689354661,NA,no,0,0,0
RGS6,mRNA,NW_005054301.1:18054740-18296652,+,-,1,0,-1,1.854,1.854,0.278324249,NA,no,0,1,0
LOC102040603,mRNA,NW_005054320.1:7802694-7804514,+,-,3,2,1.321928095,0.357,0.357,0.765088243,NA,no,0,0,0
LOC102044406,mRNA,NW_005054367.1:1397659-1418238,+,-,1,0,-1,1.218,1.218,0.418859964,NA,no,0,1,0
LOC102039388,mRNA,NW_005054702.1:54178-186593,+,-,5,1,1.584962501,2.784,2.784,0.274489688,NA,no,0,1,0
SYT17,mRNA,NW_005054319.1:5081800-5120244,+,-,2,1,0.584962501,0.266,0.266,0.829850886,NA,no,0,0,0
PLEKHA7,mRNA,NW_005054410.1:1861183-1958112,-,-,2,0,0,3.095,3.095,0.081730681,NA,no,0,1,0
SH3BGR,mRNA,NW_005054572.1:593678-620413,+,-,3,0,0.584962501,2.26,2.26,0.064329741,NA,no,0,1,0
LOC102044382,mRNA,NW_005054306.1:11185248-11227820,-,-,2,2,1,0.449,0.449,0.70210349,NA,no,0,0,0
LOC102035259,lnc_RNA,NW_005054801.1:20769-22716,+,-,1,0,-1,0.48,0.48,0.702171093,NA,no,0,0,0
IRAK1BP1,mRNA,NW_005054328.1:2852669-2864702,+,-,0,0,-3.321928095,0,0,0.681773995,NA,no,0,0,0
CACNA1E,mRNA,NW_005054493.1:1062928-1153428,+,-,2,1,0.584962501,0.452,0.452,0.697415173,NA,no,0,0,0
COL18A1,mRNA,NW_005054661.1:37463-56969,+,-,1,0,-1,1.916,1.916,0.26161127,NA,no,0,1,0
CSRP2,mRNA,NW_005054310.1:3125481-3130498,+,-,2,2,1,0.704,0.704,0.517497352,NA,no,0,0,0
PDE11A,mRNA,NW_005054298.1:20802482-20871381,-,-,2,1,0.584962501,0.381,0.381,0.741889377,NA,no,0,0,0
CTNND2,mRNA,NW_005054340.1:409461-1045148,-,-,1,0,-1,2.776,2.776,0.043401958,NA,no,0,1,0
GRK1,mRNA,NW_005054831.1:21878-26239,+,-,2,3,1.321928095,-0.369,0.369,0.743905793,NA,no,0,0,0
AR,mRNA,NW_005054456.1:801395-840202,-,-,4,2,1.584962501,1.004,1.004,0.510603158,NA,no,0,1,0
MMRN1,mRNA,NW_005054304.1:7321834-7362138,+,-,1,2,0.584962501,-0.302,0.302,0.80945467,NA,no,0,0,0
KCNJ9,mRNA,NW_005054787.1:74210-76654,+,-,1,1,0,-0.329,0.329,0.773301332,NA,no,0,0,0
OTOA,mRNA,NW_005054319.1:4249263-4285269,-,-,2,0,0,2.931,2.931,0.039089039,NA,no,0,1,0
PROK2,mRNA,NW_005054317.1:1230427-1234850,+,-,5,1,1.584962501,2.928,2.928,0.010851833,0.362128415,no,0,1,0
IGSF3,mRNA,NW_005054338.1:2997858-3065291,+,-,3,1,1,1.256,1.256,0.14563314,NA,no,0,1,0
CERKL,mRNA,NW_005054298.1:22114938-22166341,-,-,2,2,1,0.503,0.503,0.814222716,NA,no,0,0,0
ALDOB,mRNA,NW_005054873.1:37852-47789,+,-,0,4,1,-2.914,2.914,0.012831621,NA,no,0,1,0
LOC115948858,mRNA,NW_005054568.1:614159-616588,-,-,0,0,-3.321928095,0,0,0.834506309,NA,no,0,0,0
LOC102038079,mRNA,NW_005054446.1:1096074-1101258,-,-,0,0,-3.321928095,0,0,0.679242765,NA,no,0,0,0
GRB14,mRNA,NW_005054298.1:16291040-16333282,-,-,1,2,0.584962501,-0.597,0.597,0.696606784,NA,no,0,0,0
LIPH,mRNA,NW_005054380.1:566263-578929,-,-,1,0,-1,0.678,0.678,0.606016838,NA,no,0,0,0
CADPS2,mRNA,NW_005054324.1:3560005-3784064,-,-,3,0,0.584962501,2.878,2.878,0.00551612,NA,no,0,1,0
CA9,mRNA,NW_005054480.1:1191228-1206631,+,-,41,6,4.554588852,2.866,2.866,0.000713446,0.084531283,no,1,1,0
LOC102041604,mRNA,NW_005054302.1:3665424-3676137,+,-,0,1,-1,-0.571,0.571,0.675669105,NA,no,0,0,0
TSPAN8,mRNA,NW_005054310.1:5160511-5176633,+,-,0,2,0,-2.856,2.856,0.02604137,NA,no,0,1,0
CRTAC1,mRNA,NW_005054300.1:6161363-6187685,-,-,2,2,1,-0.262,0.262,0.838593503,NA,no,0,0,0
EMILIN2,mRNA,NW_005054305.1:539931-573627,-,-,2,1,0.584962501,0.493,0.493,0.582353241,NA,no,0,0,0
ADM,mRNA,NW_005054416.1:697678-700181,+,-,2,0,0,2.84,2.84,0.024532043,NA,no,0,1,0
AREG,mRNA,NW_005054536.1:137435-145179,+,-,0,0,-3.321928095,0,0,0.732289441,NA,no,0,0,0
FAM83G,mRNA,NW_005054399.1:681356-698700,-,-,1,0,-1,0.506,0.506,0.729139109,NA,no,0,0,0
CCDC180,mRNA,NW_005054517.1:95228-123124,-,-,2,0,0,2.818,2.818,0.019796002,NA,no,0,1,0
LOC102041243,mRNA,NW_005054504.1:152668-158316,+,-,1,0,-1,1.092,1.092,0.434840167,NA,no,0,1,0
CXCL12,mRNA,NW_005054300.1:9340375-9354473,+,-,2,0,0,2.815,2.815,0.004189117,NA,no,0,1,0
AQP8,mRNA,NW_005054399.1:2024364-2033200,+,-,1,1,0,-0.151,0.151,0.891591469,NA,no,0,0,0
DLG2,mRNA,NW_005054302.1:13537600-14448786,-,-,2,1,0.584962501,1.201,1.201,0.362239786,NA,no,0,1,0
GPR39,mRNA,NW_005054298.1:5728864-5802867,-,-,2,0,0,2.802,2.802,0.012960652,NA,no,0,1,0
SATB2,mRNA,NW_005054298.1:25618603-25726600,+,-,2,0,0,2.794,2.794,0.009215843,NA,no,0,1,0
DUSP26,mRNA,NW_005054673.1:235503-237344,-,-,1,0,-1,1.431,1.431,0.282884184,NA,no,0,1,0
GPR149,mRNA,NW_005054309.1:11372204-11380873,+,-,1,2,0.584962501,-0.69,0.69,0.546249976,NA,no,0,0,0
IL26,mRNA,NW_005054310.1:6226100-6232320,+,-,1,0,-1,1.256,1.256,0.388896893,NA,no,0,1,0
MAP1LC3C,mRNA,NW_005054316.1:151222-153334,-,-,0,0,-3.321928095,0,0,0.941716244,NA,no,0,0,0
MAP7D2,mRNA,NW_005054403.1:70139-150079,+,-,1,0,-1,0.796,0.796,0.500336324,NA,no,0,0,0
LOC102037173,mRNA,NW_005054529.1:744373-754066,-,-,1,0,-1,0.97,0.97,0.565042246,NA,no,0,0,0
LOC102043566,mRNA,NW_005054312.1:533073-565813,+,-,2,0,0,2.736,2.736,0.064574517,NA,no,0,1,0
FAM20C,mRNA,NW_005054319.1:3166962-3224418,-,-,2,1,0.584962501,1.064,1.064,0.335357569,NA,no,0,1,0
GALNT5,mRNA,NW_005054523.1:448447-458752,+,-,0,0,-3.321928095,0,0,0.943785847,NA,no,0,0,0
LOC115948177,snRNA,NW_005054298.1:9855683-9855799,-,-,1,7,2,-2.725,2.725,0.010173541,NA,no,0,1,0
TPPP,mRNA,NW_005054325.1:148863-207501,-,-,2,0,0,2.724,2.724,0.006127349,NA,no,0,1,0
LOC115949169,lnc_RNA,NW_005054875.1:19092-41942,-,-,8,2,2.321928095,2.09,2.09,0.349709022,0.856013202,no,0,1,0
LOC106632243,mRNA,NW_005054308.1:7040509-7050873,-,-,0,0,-3.321928095,0,0,0.745837074,NA,no,0,0,0
BICC1,mRNA,NW_005054389.1:2419419-2476477,-,-,1,2,0.584962501,-0.823,0.823,0.522674283,NA,no,0,0,0
LOC102044655,mRNA,NW_005054475.1:11984-16336,-,-,4,2,1.584962501,0.935,0.935,0.332728632,NA,no,0,0,0
FBN2,mRNA,NW_005054552.1:292604-413985,-,-,2,3,1.321928095,-0.8,0.8,0.441727768,NA,no,0,0,0
LOC115948314,lnc_RNA,NW_005054373.1:2386996-2387648,+,-,2,1,0.584962501,1.411,1.411,0.238991113,NA,no,0,1,0
PLB1,mRNA,NW_005054299.1:9731268-9808794,-,-,1,0,-1,2.312,2.312,0.070647939,NA,no,0,1,0
LOC115948907,guide_RNA,NW_005054609.1:209882-210151,-,-,1,2,0.584962501,-2.192,2.192,0.042747307,NA,no,0,1,0
PAQR9,mRNA,NW_005054371.1:3019129-3025833,-,-,2,0,0,2.671,2.671,0.026398994,NA,no,0,1,0
ANKRD55,mRNA,NW_005054335.1:2693762-2740204,+,-,0,1,-1,-1.239,1.239,0.411448362,NA,no,0,1,0
CD180,mRNA,NW_005054526.1:352006-355267,-,-,0,1,-1,-0.493,0.493,0.704899951,NA,no,0,0,0
LOC115948514,snoRNA,NW_005054416.1:287937-288117,+,-,0,2,0,-2.657,2.657,0.038356202,NA,no,0,1,0
LOC115948387,snoRNA,NW_005054387.1:1631091-1631222,+,-,0,1,-1,-1.351,1.351,0.322956125,NA,no,0,1,0
LOC102038126,mRNA,NW_005054416.1:2481749-2484135,-,-,1,0,-1,1.767,1.767,0.103274263,NA,no,0,1,0
CHSY3,mRNA,NW_005054355.1:2788251-2942338,-,-,1,1,0,-0.213,0.213,0.850877791,NA,no,0,0,0
LOC102038438,mRNA,NW_005055397.1:1-8607,+,-,0,0,-3.321928095,0,0,0.480696009,NA,no,0,0,0
PRICKLE1,mRNA,NW_005054310.1:11576988-11586418,+,-,2,2,1,-0.152,0.152,0.877536563,NA,no,0,0,0
EPB41L1,mRNA,NW_005054481.1:162820-189495,+,-,0,1,-1,-0.466,0.466,0.696015152,NA,no,0,0,0
KCNK10,mRNA,NW_005054301.1:903901-960869,+,-,1,1,0,-0.383,0.383,0.766383395,NA,no,0,0,0
FRMPD1,mRNA,NW_005054761.1:50588-77260,+,-,2,3,1.321928095,-0.551,0.551,0.53854708,NA,no,0,0,0
MEX3C,mRNA,NW_005054986.1:5120-16711,-,+,164,100,7.044394119,0.714,0.714,0.68895394,0.938111147,no,2,0,0
KIAA1549L,mRNA,NW_005054487.1:855428-933850,-,-,1,0,-1,2.617,2.617,0.073079289,NA,no,0,1,0
LOC102032863,mRNA,NW_005054297.1:16448882-16452347,-,-,1,2,0.584962501,-1.608,1.608,0.143472248,NA,no,0,1,0
LOC115948363,lnc_RNA,NW_005054383.1:505918-506600,+,-,0,0,-3.321928095,0,0,0.940885335,NA,no,0,0,0
LOC102034373,mRNA,NW_005054610.1:438325-443278,+,-,0,0,-3.321928095,0,0,0.959821015,NA,no,0,0,0
RGS7,mRNA,NW_005054642.1:80887-294361,-,-,2,3,1.321928095,-0.256,0.256,0.853184469,NA,no,0,0,0
LOC102033647,mRNA,NW_005060082.1:88-1087,+,-,0,1,-1,-1.903,1.903,0.11917522,NA,no,0,1,0
APBB3,mRNA,NW_005054386.1:1711-12886,+,-,2,2,1,0.031,0.031,0.971994394,NA,no,0,0,0
LOC102036122,mRNA,NW_005054304.1:15340079-15347028,+,-,0,0,-3.321928095,0,0,0.424485488,NA,no,0,0,0
MYO5C,mRNA,NW_005054313.1:5118892-5152250,-,-,14,2,3,2.606,2.606,0.000684095,0.082917001,no,1,1,0
SALL4,mRNA,NW_005054356.1:3467901-3481724,+,-,2,1,0.584962501,2.008,2.008,0.111887428,NA,no,0,1,0
ATP6V1C2,mRNA,NW_005054318.1:6210847-6229772,-,-,2,0,0,2.605,2.605,0.01632498,NA,no,0,1,0
NRSN1,mRNA,NW_005054325.1:2290384-2297894,-,-,3,0,0.584962501,2.604,2.604,0.028762701,NA,no,0,1,0
NOS1,mRNA,NW_005054483.1:165135-219265,+,-,0,0,-3.321928095,0,0,0.782298692,NA,no,0,0,0
CNGA2,mRNA,NW_005054314.1:8380106-8387188,+,-,2,4,1.584962501,-0.821,0.821,0.467219538,NA,no,0,0,0
IL22,mRNA,NW_005054310.1:6196396-6198489,+,-,0,0,-3.321928095,0,0,0.951821076,NA,no,0,0,0
SRRM4,mRNA,NW_005054330.1:5738260-5761687,+,-,2,2,1,0.43,0.43,0.725926057,NA,no,0,0,0
KIF18B,mRNA,NW_005054518.1:436914-442644,-,-,1,0,-1,0.784,0.784,0.603946238,NA,no,0,0,0
