GeneID,gene_type,locus,strand,sex-linked,avg IFOR,avg UFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
LOC102034467,mRNA,NW_005054381.1:3107914-3109157,+,-,7,6,2.700439718,0.223,0.223,0.736252911,0.9693628,no,0,0,0
MPZL2,mRNA,NW_005054447.1:548745-554233,+,-,1,1,0,-0.011,0.011,0.990193942,0.997988499,no,0,0,0
IFITM5,mRNA,NW_005054416.1:1970354-1973894,-,-,12,4,3,1.661,1.661,0.005250426,0.166638877,no,1,1,0
LOC115948326,lnc_RNA,NW_005054376.1:1151013-1155343,-,-,1,2,0.584962501,-1.863,1.863,0.069274959,0.510453674,no,0,1,0
LOC115948269,snoRNA,NW_005054368.1:2808065-2808278,+,-,3,1,1,1.128,1.128,0.24446209,NA,no,0,1,0
TDO2,mRNA,NW_005054297.1:28357133-28373604,-,-,6,7,2.700439718,-0.282,0.282,0.639943895,0.949787773,no,0,0,0
LOC102033956,mRNA,NW_005054381.1:3032961-3052800,+,-,2,7,2.169925001,-1.479,1.479,0.049391987,0.447762582,no,0,1,0
LSMEM2,mRNA,NW_005054339.1:3144645-3148231,-,-,3,4,1.807354922,-0.349,0.349,0.686970986,NA,no,0,0,0
EPB41L4A,mRNA,NW_005054554.1:568809-684808,-,-,2,1,0.584962501,1.757,1.757,0.07240228,0.518713786,no,0,1,0
LOC102041691,mRNA,NW_005054388.1:627480-631020,-,-,5,2,1.807354922,1.113,1.113,0.091563174,0.563930166,no,0,1,0
ULK4,mRNA,NW_005054361.1:1504824-1716758,-,-,2,2,1,-0.451,0.451,0.601471361,NA,no,0,0,0
TEX12,mRNA,NW_005054447.1:131119-132359,+,-,3,4,1.807354922,-0.736,0.736,0.111815718,0.612808223,no,0,0,0
LOC115947645,mRNA,NW_005054301.1:3688864-3822346,-,-,3,3,1.584962501,0.224,0.224,0.79781116,0.980293363,no,0,0,0
AIFM3,mRNA,NW_005054448.1:1469539-1514339,-,-,41,38,5.303780748,0.096,0.096,0.910027432,0.993547474,no,2,0,0
LOC115947854,mRNA,NW_005054323.1:6619273-6642789,-,-,1,4,1.321928095,-2.108,2.108,0.014147107,0.261909165,no,0,1,0
FNDC4,mRNA,NW_005054669.1:203756-207998,-,-,22,20,4.392317423,0.117,0.117,0.80731557,0.981496262,no,2,0,0
MYBPC3,mRNA,NW_005054312.1:3225744-3286834,-,-,16,22,4.247927513,-0.409,0.409,0.582539926,0.932815831,no,2,0,0
LOC102033882,mRNA,NW_005054314.1:8980370-8991331,+,-,1,1,0,-0.252,0.252,0.813906018,0.983281215,no,0,0,0
PCSK1,mRNA,NW_005054468.1:15003-44190,-,-,4,2,1.584962501,0.96,0.96,0.143408196,0.669410474,no,0,0,0
CHAD,mRNA,NW_005054370.1:3194689-3202833,-,-,5,10,2.906890596,-1.123,1.123,0.191488827,0.734169083,no,1,1,0
KCNE1,mRNA,NW_005054454.1:821489-821869,+,-,25,28,4.727920455,-0.192,0.192,0.787609648,0.978686512,no,2,0,0
BATF3,mRNA,NW_005054299.1:4008828-4012820,+,-,7,6,2.700439718,0.302,0.302,0.700160536,0.963490308,no,0,0,0
LOC106631985,mRNA,NW_005054472.1:741360-748132,+,-,2,0,0,1.731,1.731,0.068029144,NA,no,0,1,0
RHPN2,mRNA,NW_005054748.1:15196-38370,+,-,19,17,4.169925001,0.089,0.089,0.864140943,0.988774843,no,2,0,0
CACNA2D2,mRNA,NW_005054339.1:1344902-1530543,+,-,3,5,2,-0.843,0.843,0.255833309,0.792359249,no,0,0,0
LRATD2,mRNA,NW_005054321.1:6413383-6414771,-,-,3,4,1.807354922,-0.338,0.338,0.729431458,NA,no,0,0,0
LOC102038794,mRNA,NW_005054360.1:1543380-1557826,+,-,9,1,2.321928095,2.819,2.819,0.000125137,0.027913957,yes,0,1,0
PKIB,mRNA,NW_005054306.1:9024085-9078201,+,-,4,2,1.584962501,1.306,1.306,0.061197272,0.489320504,no,0,1,0
MYCN,mRNA,NW_005054318.1:3841822-3845737,-,-,1,2,0.584962501,-0.033,0.033,0.963648033,0.996706821,no,0,0,0
LOC102038772,mRNA,NW_005055128.1:2397-21237,+,-,4,1,1.321928095,1.888,1.888,0.070850774,NA,no,0,1,0
PLA2G12B,mRNA,NW_005054594.1:429811-439580,-,-,1,0,-1,0.343,0.343,0.747796313,0.971165694,no,0,0,0
RASD2,mRNA,NW_005054334.1:2183492-2191805,+,-,0,0,-3.321928095,0,0,0.663584458,NA,no,0,0,0
ARNT2,mRNA,NW_005054313.1:1487507-1565338,+,-,7,8,2.906890596,-0.14,0.14,0.859019581,0.988120571,no,0,0,0
GABRR3,mRNA,NW_005054338.1:2155112-2180655,-,-,2,2,1,-0.056,0.056,0.925758866,0.993547474,no,0,0,0
LOC115949536,lnc_RNA,NW_005054305.1:11899439-11920601,+,-,5,12,3.087462841,-1.24,1.24,0.129868505,0.647864164,no,1,1,0
MOV10L1,mRNA,NW_005054324.1:6140321-6169443,-,-,3,4,1.807354922,-0.248,0.248,0.791682316,0.978809915,no,0,0,0
EPHA1,mRNA,NW_005054589.1:481650-515514,-,-,20,19,4.285402219,0.061,0.061,0.940469087,0.994654648,no,2,0,0
TCERG1L,mRNA,NW_005054506.1:706741-869493,+,-,11,32,4.426264755,-1.548,1.548,0.017470785,0.291446947,no,2,1,0
LOC102038302,mRNA,NW_005054665.1:100175-110426,+,-,4,4,2,0.15,0.15,0.863037426,0.988658228,no,0,0,0
LOC102031749,mRNA,NW_005054549.1:194037-207581,-,-,1,3,1,-1.238,1.238,0.176472541,NA,no,0,1,0
LOC115948513,lnc_RNA,NW_005054416.1:1228116-1230547,+,-,4,10,2.807354922,-1.506,1.506,0.00544637,0.170953004,no,1,1,0
LOC102037844,mRNA,NW_005054473.1:370188-373856,-,-,0,1,-1,-1.489,1.489,0.180134584,0.721665991,no,0,1,0
LOC102040547,mRNA,NW_005054319.1:7104867-7176989,+,-,8,9,3.087462841,-0.175,0.175,0.803655248,0.980431472,no,0,0,0
PAMR1,mRNA,NW_005054312.1:7474283-7529755,+,-,3,3,1.584962501,-0.095,0.095,0.907919172,NA,no,0,0,0
VCAN,mRNA,NW_005054431.1:658419-758480,-,-,19,3,3.459431619,2.725,2.725,6.35075E-06,0.006781089,yes,1,1,1
RASD1,mRNA,NW_005054399.1:279736-281660,-,-,12,9,3.392317423,0.461,0.461,0.606675868,0.942148028,no,1,0,0
TEKT1,mRNA,NW_005054368.1:28894-33460,+,-,5,4,2.169925001,0.504,0.504,0.42842895,0.891614871,no,0,0,0
NECTIN4,mRNA,NW_005054787.1:800-23167,+,-,1,0,-1,0.663,0.663,0.528813913,NA,no,0,0,0
KIF21A,mRNA,NW_005054354.1:1019761-1134176,-,-,2,2,1,-0.771,0.771,0.257116131,0.792359249,no,0,0,0
CACNB1,mRNA,NW_005054625.1:12869-20454,-,-,2,3,1.321928095,-0.693,0.693,0.398695309,NA,no,0,0,0
LOC115948791,mRNA,NW_005054521.1:729-12811,-,-,12,12,3.584962501,-0.044,0.044,0.954309476,0.996097671,no,2,0,0
M1AP,mRNA,NW_005054548.1:624928-638159,+,-,3,10,2.700439718,-1.784,1.784,0.045540883,0.435188635,no,1,1,0
LIMA1,mRNA,NW_005054600.1:205889-225876,+,-,6,8,2.807354922,-0.341,0.341,0.5221912,0.922313832,no,0,0,0
PI16,mRNA,NW_005054472.1:1204486-1212619,-,-,4,4,2,-0.271,0.271,0.627070636,0.946646926,no,0,0,0
AFMID,mRNA,NW_005054578.1:347836-349576,+,-,3,12,2.906890596,-1.996,1.996,0.00128925,0.08071271,no,1,1,0
SH2D4A,mRNA,NW_005054304.1:12023642-12033848,+,-,8,7,2.906890596,0.078,0.078,0.888476195,0.992212165,no,0,0,0
SHC2,mRNA,NW_005054491.1:391914-397556,-,-,1,1,0,0.065,0.065,0.946964051,0.994654648,no,0,0,0
FZD1,mRNA,NW_005054307.1:7614591-7616061,-,-,2,7,2.169925001,-1.675,1.675,0.088891768,0.554976877,no,0,1,0
PGA3,mRNA,NW_005054416.1:2428601-2433067,-,-,37,47,5.392317423,-0.363,0.363,0.270773326,0.803842276,no,2,0,0
LOC115948716,lnc_RNA,NW_005054485.1:1030476-1034590,+,-,4,3,1.807354922,0.376,0.376,0.592463259,0.936142888,no,0,0,0
EXO1,mRNA,NW_005054316.1:116504-136603,+,-,14,27,4.357552005,-0.932,0.932,0.088968308,0.555150551,no,2,0,0
SMTNL2,mRNA,NW_005054368.1:7181-25979,+,-,26,28,4.754887502,-0.103,0.103,0.761999408,0.973548891,no,2,0,0
IGDCC4,mRNA,NW_005054366.1:1500595-1564362,-,-,3,5,2,-0.792,0.792,0.362133099,0.862159508,no,0,0,0
LOC102038003,mRNA,NW_005054378.1:433740-439109,+,-,14,2,3,2.602,2.602,0.000413474,0.048072705,yes,1,1,1
PPP2R3A,mRNA,NW_005054380.1:233446-283157,-,-,9,7,3,0.387,0.387,0.243859889,0.78404094,no,0,0,0
LOC115949444,mRNA,NW_005061450.1:464-1119,+,-,0,2,0,-2.539,2.539,0.005740138,NA,no,0,1,0
BHLHE41,mRNA,NW_005054414.1:2036856-2038945,-,-,5,10,2.906890596,-1.072,1.072,0.247949156,0.78789313,no,1,1,0
CLVS2,mRNA,NW_005054306.1:9168436-9224870,+,-,3,10,2.700439718,-1.693,1.693,0.038535636,0.413441653,no,1,1,0
TSNARE1,mRNA,NW_005054419.1:8233-313569,+,-,1,1,0,0.108,0.108,0.880002993,0.992198979,no,0,0,0
CRPPA,mRNA,NW_005054307.1:1203900-1308509,+,-,3,4,1.807354922,-0.32,0.32,0.70004202,0.963490308,no,0,0,0
DPYD,mRNA,NW_005054336.1:4213880-4525157,-,-,14,11,3.64385619,0.329,0.329,0.537703832,0.927288854,no,2,0,0
LOC115948453,lnc_RNA,NW_005054299.1:7016177-7046772,-,-,10,10,3.321928095,0.068,0.068,0.865654656,0.989115528,no,2,0,0
MLPH,mRNA,NW_005054507.1:137867-165287,+,-,24,15,4.285402219,0.696,0.696,0.339899758,0.848743775,no,2,0,0
GRP,mRNA,NW_005054590.1:511932-516936,+,-,5,3,2,0.693,0.693,0.229453996,0.775325868,no,0,0,0
ATP6V1G3,mRNA,NW_005054357.1:1843167-1860656,+,-,23,5,3.807354922,2.072,2.072,7.44427E-05,0.023504836,yes,1,1,1
CHADL,mRNA,NW_005054334.1:4681454-4686478,-,-,2,5,1.807354922,-1.567,1.567,0.064608701,0.496439866,no,0,1,0
SLC26A4,mRNA,NW_005054354.1:1667977-1692470,-,-,1,2,0.584962501,-1.296,1.296,0.118841422,0.626308584,no,0,1,0
FAM221A,mRNA,NW_005054333.1:4836447-4846396,-,-,1,1,0,0.444,0.444,0.582195499,0.932815831,no,0,0,0
THSD7A,mRNA,NW_005054307.1:3155703-3345784,+,-,6,9,2.906890596,-0.586,0.586,0.287150082,0.817742574,no,0,0,0
LOC115947897,snoRNA,NW_005054329.1:3750535-3750608,-,-,1,1,0,-0.737,0.737,0.433787611,0.896856476,no,0,0,0
AQP9,mRNA,NW_005054313.1:6928515-6953442,+,-,11,12,3.523561956,-0.138,0.138,0.806992853,0.981496262,no,2,0,0
MOGAT1,mRNA,NW_005054371.1:294248-316730,+,-,23,32,4.781359714,-0.452,0.452,0.421550943,0.888178732,no,2,0,0
FSIP1,mRNA,NW_005054301.1:15107318-15175889,-,-,1,1,0,0.504,0.504,0.588515223,NA,no,0,0,0
TYRO3,mRNA,NW_005054312.1:1055402-1091288,-,-,3,2,1.321928095,0.545,0.545,0.369081971,0.864047664,no,0,0,0
FAM131B,mRNA,NW_005054589.1:417131-431456,-,-,12,4,3,1.837,1.837,0.012146078,0.247278581,no,1,1,0
SRPX,mRNA,NW_005054374.1:1899993-1918997,-,-,16,6,3.459431619,1.371,1.371,0.098056865,0.580777594,no,1,1,0
NR1D1,mRNA,NW_005054625.1:356928-361746,-,-,2,1,0.584962501,0.21,0.21,0.802212201,0.980415177,no,0,0,0
LPIN1,mRNA,NW_005054318.1:5630898-5666228,-,-,28,22,4.64385619,0.321,0.321,0.493579859,0.916234753,no,2,0,0
BMPR1B,mRNA,NW_005054304.1:9313603-9499251,+,-,5,8,2.700439718,-0.671,0.671,0.340846863,0.849805068,no,0,0,0
ANO4,mRNA,NW_005054331.1:5912788-6088640,+,-,2,4,1.584962501,-0.626,0.626,0.262041371,0.795178408,no,0,0,0
MAGI2,mRNA,NW_005054354.1:4017228-4721166,-,-,8,8,3,-0.008,0.008,0.987141407,0.997988499,no,0,0,0
PTPRM,mRNA,NW_005054443.1:1232300-1573844,+,-,4,1,1.321928095,1.392,1.392,0.107048609,NA,no,0,1,0
LOC115948115,snRNA,NW_005054347.1:2917608-2917722,-,-,15,10,3.64385619,0.63,0.63,0.290177424,0.82095617,no,2,0,0
CD109,mRNA,NW_005054328.1:1023732-1094933,+,-,28,31,4.882643049,-0.128,0.128,0.841218627,0.986851867,no,2,0,0
LOC102040180,mRNA,NW_005054726.1:105605-110277,-,-,3,6,2.169925001,-0.879,0.879,0.298545407,0.826542688,no,0,0,0
LOC115949352,mRNA,NW_005056369.1:139-3171,-,-,4,6,2.321928095,-0.555,0.555,0.489263166,0.916112594,no,0,0,0
NKAIN4,mRNA,NW_005054337.1:999030-1032975,-,-,3,4,1.807354922,-0.399,0.399,0.605748556,0.941339205,no,0,0,0
RASGEF1B,mRNA,NW_005054304.1:4798239-4825234,-,-,10,19,3.857980995,-0.943,0.943,0.201733288,0.744314943,no,2,0,0
LOC102042373,mRNA,NW_005054493.1:572473-600800,-,-,4,1,1.321928095,1.269,1.269,0.133310189,NA,no,0,1,0
SEMA4G,mRNA,NW_005054300.1:5114776-5123394,+,-,6,4,2.321928095,0.682,0.682,0.342579055,0.852203787,no,0,0,0
CERS6,mRNA,NW_005054298.1:17405381-17487668,+,-,13,5,3.169925001,1.339,1.339,0.058028432,0.482974002,no,1,1,0
LOC102040394,mRNA,NW_005054399.1:1862967-1867708,-,-,1,2,0.584962501,-1.537,1.537,0.052779824,0.461759252,no,0,1,0
HECW2,mRNA,NW_005054298.1:26633170-26747439,+,-,11,14,3.64385619,-0.355,0.355,0.634963124,0.94845718,no,2,0,0
KLF15,mRNA,NW_005054317.1:7506359-7514844,+,-,7,18,3.64385619,-1.442,1.442,0.008291277,0.202292965,no,1,1,0
LOC102038751,mRNA,NW_005054392.1:2577242-2578243,+,-,45,23,5.087462841,0.956,0.956,0.034897361,0.400020653,no,2,0,0
TRNAQ-UUG,tRNA,NW_005054370.1:557543-557614,+,-,14,7,3.392317423,1.044,1.044,0.030089284,0.377936172,no,1,1,0
LOC115947981,lnc_RNA,NW_005054336.1:375931-379218,+,-,5,8,2.700439718,-0.597,0.597,0.153342566,0.683773187,no,0,0,0
STXBP5L,mRNA,NW_005054320.1:6206004-6390179,+,-,9,22,3.95419631,-1.364,1.364,0.03572595,0.402285743,no,1,1,0
TMEM14A,mRNA,NW_005054413.1:15132-22710,-,-,38,23,4.930737338,0.722,0.722,0.115466506,0.622664485,no,2,0,0
DEPDC1B,mRNA,NW_005054335.1:1037798-1056944,+,-,4,5,2.169925001,-0.414,0.414,0.383813523,0.873291877,no,0,0,0
TBX5,mRNA,NW_005054330.1:5175262-5211235,+,-,2,2,1,0.551,0.551,0.471577888,0.911338633,no,0,0,0
LOC102042002,mRNA,NW_005054730.1:71032-71896,-,-,2,1,0.584962501,1.234,1.234,0.197043685,0.74247814,no,0,1,0
LOC102034601,mRNA,NW_005054739.1:100701-101648,-,-,3,4,1.807354922,-0.433,0.433,0.437377288,0.898540924,no,0,0,0
LOC102044509,mRNA,NW_005054309.1:3348608-3358113,-,-,7,14,3.392317423,-0.946,0.946,0.018766686,0.302016419,no,1,0,0
LOC102042000,mRNA,NW_005054621.1:374304-380647,-,-,2,7,2.169925001,-1.614,1.614,0.024697649,0.342758843,no,0,1,0
DIRAS2,mRNA,NW_005054355.1:1632939-1646576,-,-,6,7,2.700439718,-0.136,0.136,0.825368856,0.984639461,no,0,0,0
UBXN10,mRNA,NW_005054473.1:390831-393833,+,-,3,4,1.807354922,-0.401,0.401,0.470593455,0.911338633,no,0,0,0
FOXM1,mRNA,NW_005054444.1:1505161-1514163,-,-,6,3,2.169925001,0.87,0.87,0.234569696,0.778775631,no,0,0,0
LRRC56,mRNA,NW_005054312.1:8605840-8663474,+,-,14,7,3.392317423,1.143,1.143,0.030443325,0.379924699,no,1,1,0
LOC102041235,mRNA,NW_005054399.1:1907315-1940568,+,-,2,4,1.584962501,-0.939,0.939,0.250494545,0.789307202,no,0,0,0
ADAMTS10,mRNA,NW_005054551.1:124923-206200,+,-,16,20,4.169925001,-0.342,0.342,0.517957411,0.921471496,no,2,0,0
LOC102042709,mRNA,NW_005054821.1:292-5820,-,-,3,15,3.169925001,-2.269,2.269,0.000229614,0.034883022,yes,1,1,1
FBP1,mRNA,NW_005054427.1:704206-713908,-,-,10,6,3,0.687,0.687,0.251944553,0.789647251,no,1,0,0
AKAP6,mRNA,NW_005054301.1:9419860-9678347,-,-,15,6,3.392317423,1.355,1.355,0.011336289,0.236134683,no,1,1,0
LOC115948008,lnc_RNA,NW_005054339.1:4738580-4752281,-,-,7,12,3.247927513,-0.867,0.867,0.159852161,0.695081755,no,1,0,0
LOC102033968,mRNA,NW_005054491.1:264661-268516,+,-,21,33,4.754887502,-0.648,0.648,0.126833136,0.643847782,no,2,0,0
TMTC2,mRNA,NW_005054310.1:410807-586175,-,-,32,21,4.727920455,0.652,0.652,0.262712981,0.796315963,no,2,0,0
PRSS57,mRNA,NW_005054491.1:511497-513730,-,-,10,5,2.906890596,0.925,0.925,0.089375456,0.556399822,no,1,0,0
CDC7,mRNA,NW_005054336.1:2606945-2622552,+,-,4,10,2.807354922,-1.193,1.193,0.06713298,0.503509939,no,1,1,0
TMEM61,mRNA,NW_005054345.1:2466476-2478592,+,-,7,7,2.807354922,-0.121,0.121,0.861635768,0.988469386,no,0,0,0
VWA5B1,mRNA,NW_005054473.1:410788-438240,+,-,3,2,1.321928095,0.841,0.841,0.140272954,0.665391355,no,0,0,0
EBF1,mRNA,NW_005054308.1:8459870-8716596,-,-,18,46,5,-1.321,1.321,0.022589862,0.331686712,no,2,1,0
CUNH10orf95,mRNA,NW_005054300.1:5024587-5035724,+,-,2,2,1,-0.509,0.509,0.499320435,0.916985017,no,0,0,0
CCNA2,mRNA,NW_005054435.1:867213-873417,-,-,38,34,5.169925001,0.131,0.131,0.809614035,0.981982363,no,2,0,0
CCDC83,mRNA,NW_005054302.1:14620054-14638151,+,-,2,1,0.584962501,0.555,0.555,0.498038486,0.916985017,no,0,0,0
BAK1,mRNA,NW_005054512.1:681550-686868,+,-,45,38,5.375039431,0.266,0.266,0.57742713,0.93220185,no,2,0,0
CP,mRNA,NW_005054309.1:12021505-12038574,+,-,4,2,1.584962501,1.131,1.131,0.077649318,0.52954555,no,0,1,0
TMEM132D,mRNA,NW_005054362.1:658945-844716,+,-,6,8,2.807354922,-0.269,0.269,0.618803534,0.945425783,no,0,0,0
LOC102038096,mRNA,NW_005054297.1:30408019-30420174,-,-,3,6,2.169925001,-0.784,0.784,0.297802471,0.826542688,no,0,0,0
MMEL1,mRNA,NW_005054449.1:1036215-1067755,-,-,2,2,1,-0.535,0.535,0.426410892,0.89016594,no,0,0,0
LOC102035226,mRNA,NW_005054342.1:4272418-4285107,-,-,10,3,2.700439718,1.579,1.579,0.033635619,0.39691144,no,1,1,0
SNX18,mRNA,NW_005054335.1:3354556-3375437,-,-,33,16,4.614709844,1.088,1.088,0.010740489,0.230023164,no,2,1,0
LOC102033675,mRNA,NW_005054373.1:1282764-1300076,-,-,3,4,1.807354922,-0.358,0.358,0.482216392,0.913597201,no,0,0,0
LOC115948218,lnc_RNA,NW_005054362.1:2710364-2714662,-,-,17,6,3.523561956,1.417,1.417,0.021077764,0.322795755,no,1,1,0
FAAP20,mRNA,NW_005054449.1:648582-651148,-,-,14,10,3.584962501,0.473,0.473,0.331484856,0.844952673,no,2,0,0
GHR,mRNA,NW_005054335.1:6148089-6295715,-,-,4,3,1.807354922,0.575,0.575,0.399292357,0.878012311,no,0,0,0
RASGRF1,mRNA,NW_005054366.1:3440673-3459264,-,-,4,10,2.807354922,-1.106,1.106,0.175067641,0.718485188,no,1,1,0
BSPRY,mRNA,NW_005054358.1:1309641-1321179,-,-,6,9,2.906890596,-0.602,0.602,0.261127872,0.795107154,no,0,0,0
GPR176,mRNA,NW_005054301.1:15180216-15212277,-,-,2,2,1,-0.971,0.971,0.188190756,0.731075852,no,0,0,0
EXPH5,mRNA,NW_005054302.1:4903571-4921265,+,-,17,9,3.700439718,0.956,0.956,0.11285485,0.61513664,no,1,0,0
LOC106632178,mRNA,NW_005056036.1:483-4687,+,-,2,3,1.321928095,-0.617,0.617,0.261245761,0.795117921,no,0,0,0
MAP7,mRNA,NW_005054316.1:2886769-2986733,-,-,13,12,3.64385619,0.165,0.165,0.789919646,0.978809915,no,2,0,0
LOC115948909,mRNA,NW_005054610.1:38929-44357,+,-,24,38,4.95419631,-0.639,0.639,0.193782335,0.738212227,no,2,0,0
MYL4,mRNA,NW_005054584.1:220225-225238,-,-,10,16,3.700439718,-0.695,0.695,0.072739207,0.519649987,no,2,0,0
LECT2,mRNA,NW_005054308.1:3713488-3717938,-,-,30,18,4.584962501,0.72,0.72,0.288345564,0.818538302,no,2,0,0
LOC102034446,mRNA,NW_005054319.1:4059891-4073246,-,-,6,9,2.906890596,-0.615,0.615,0.259837516,0.793461772,no,0,0,0
MUC4,mRNA,NW_005054309.1:2483828-2496386,+,-,7,15,3.459431619,-0.989,0.989,0.108038731,0.605208111,no,1,0,0
LOC115948803,mRNA,NW_005054530.1:784125-798510,+,-,19,18,4.209453366,0.081,0.081,0.902324686,0.993547474,no,2,0,0
LOC115947707,lnc_RNA,NW_005054310.1:6333046-6347190,-,-,4,3,1.807354922,0.121,0.121,0.856355834,0.988120571,no,0,0,0
LOC115948354,mRNA,NW_005054381.1:3330977-3331762,+,-,2,2,1,0.474,0.474,0.497340676,0.916985017,no,0,0,0
LOC102031884,mRNA,NW_005054337.1:4383153-4386839,-,-,8,12,3.321928095,-0.657,0.657,0.18781625,0.730499599,no,1,0,0
HJV,mRNA,NW_005054618.1:37511-40023,-,-,4,9,2.700439718,-1.152,1.152,0.015231315,0.269480749,no,0,1,0
LOC102037011,mRNA,NW_005054535.1:684386-694947,-,-,6,11,3.087462841,-0.755,0.755,0.132426595,0.651954633,no,1,0,0
MTCL1,mRNA,NW_005054443.1:1674082-1764529,+,-,4,10,2.807354922,-1.196,1.196,0.06705231,0.503509939,no,1,1,0
SLC16A12,mRNA,NW_005054300.1:8981520-8998191,+,-,31,19,4.64385619,0.686,0.686,0.09469392,0.575436014,no,2,0,0
BCLAF3,mRNA,NW_005054403.1:163051-187269,+,-,10,12,3.459431619,-0.329,0.329,0.626141508,0.946187844,no,2,0,0
LOC102039809,lnc_RNA,NW_005054322.1:2731977-2738382,-,-,3,7,2.321928095,-1.29,1.29,0.018672159,0.301346431,no,0,1,0
NUDT19,mRNA,NW_005054408.1:119784-125111,-,-,8,4,2.584962501,1.093,1.093,0.026561417,0.351907886,no,0,1,0
LOC102044710,mRNA,NW_005054589.1:226160-227095,+,-,5,8,2.700439718,-0.595,0.595,0.28744904,0.818115629,no,0,0,0
ICA1,mRNA,NW_005054307.1:4638246-4695036,+,-,18,10,3.807354922,0.853,0.853,0.07891456,0.532357905,no,2,0,0
LOC102036951,mRNA,NW_005054449.1:320116-334448,-,-,5,9,2.807354922,-0.797,0.797,0.194475624,0.739631592,no,0,0,0
LOC115948084,lnc_RNA,NW_005054346.1:2594995-2598127,+,-,4,5,2.169925001,-0.578,0.578,0.335651238,0.845772341,no,0,0,0
LOC102044570,mRNA,NW_005054343.1:3613937-3619354,+,-,1,2,0.584962501,-0.824,0.824,0.266374711,0.799218652,no,0,0,0
TBC1D32,mRNA,NW_005054306.1:8436955-8511396,-,-,1,2,0.584962501,-0.725,0.725,0.387232888,0.874545024,no,0,0,0
PARD3,mRNA,NW_005054360.1:3969115-4366497,-,-,10,4,2.807354922,1.099,1.099,0.047187596,0.439750021,no,1,1,0
LOC102034033,mRNA,NW_005054515.1:98304-220456,+,-,12,22,4.087462841,-0.86,0.86,0.273298326,0.805790249,no,2,0,0
LOC102039264,mRNA,NW_005054414.1:1580536-1617824,-,-,34,44,5.285402219,-0.373,0.373,0.437356277,0.898540924,no,2,0,0
ZNF462,mRNA,NW_005054468.1:602850-690974,+,-,27,29,4.807354922,-0.126,0.126,0.703132816,0.964051704,no,2,0,0
ARFGEF3,mRNA,NW_005054316.1:3601932-3694059,+,-,4,4,2,0.045,0.045,0.945010109,0.994654648,no,0,0,0
FBXO5,mRNA,NW_005054316.1:8571912-8575970,+,-,11,17,3.807354922,-0.682,0.682,0.128717228,0.646189544,no,2,0,0
GINS2,mRNA,NW_005054373.1:1321532-1330766,+,-,20,29,4.614709844,-0.539,0.539,0.214840322,0.757268335,no,2,0,0
LOC102034401,mRNA,NW_005054346.1:11089-72644,+,-,15,27,4.392317423,-0.851,0.851,0.049213117,0.447762582,no,2,0,0
PTGS2,mRNA,NW_005054357.1:4588630-4594071,-,-,8,7,2.906890596,0.156,0.156,0.821233877,0.984314243,no,0,0,0
SYT14,mRNA,NW_005054299.1:4982076-5058281,-,-,3,4,1.807354922,-0.702,0.702,0.253914496,0.790110739,no,0,0,0
LOC102045507,mRNA,NW_005054309.1:12059996-12063819,-,-,6,10,3,-0.571,0.571,0.36506252,0.862926072,no,1,0,0
TMEM170B,mRNA,NW_005054376.1:3368544-3388384,+,-,26,17,4.426264755,0.584,0.584,0.157710476,0.690560389,no,2,0,0
LOC102037873,mRNA,NW_005054309.1:3200591-3203135,+,-,3,6,2.169925001,-0.873,0.873,0.109179542,0.606790041,no,0,0,0
LOC102037859,mRNA,NW_005054654.1:135727-158440,+,-,3,9,2.584962501,-1.34,1.34,0.078998114,0.532375096,no,0,1,0
LOX,mRNA,NW_005054404.1:2042650-2054608,+,-,8,6,2.807354922,0.504,0.504,0.287988588,0.818481722,no,0,0,0
LOC102036541,lnc_RNA,NW_005054368.1:2437053-2441081,-,-,2,4,1.584962501,-1.369,1.369,0.057508493,0.48277938,no,0,1,0
DEGS2,mRNA,NW_005054303.1:4841876-4851837,-,-,4,6,2.321928095,-0.651,0.651,0.209480655,0.753178473,no,0,0,0
LOC102039398,mRNA,NW_005054305.1:2912602-2919049,+,-,16,20,4.169925001,-0.3,0.3,0.508165624,0.919414377,no,2,0,0
LOC102045428,mRNA,NW_005054472.1:727148-738015,+,-,3,7,2.321928095,-1.281,1.281,0.04287664,0.423108492,no,0,1,0
KCNIP2,mRNA,NW_005054300.1:5632117-5678948,-,-,5,10,2.906890596,-0.89,0.89,0.066927498,0.503509939,no,1,0,0
LOC102041308,mRNA,NW_005054441.1:1236969-1240620,-,-,9,12,3.392317423,-0.354,0.354,0.464582856,0.910937372,no,1,0,0
LOC102043159,mRNA,NW_005054545.1:5274-10160,+,-,7,19,3.700439718,-1.447,1.447,0.000181115,0.032846841,yes,1,1,1
LOC102038174,mRNA,NW_005054381.1:3115725-3120298,-,-,10,16,3.700439718,-0.621,0.621,0.261833971,0.795117921,no,2,0,0
IDO2,mRNA,NW_005054535.1:674967-682669,-,-,5,9,2.807354922,-0.805,0.805,0.153863933,0.683888899,no,0,0,0
LOC115948266,lnc_RNA,NW_005054368.1:1050993-1051468,-,-,20,29,4.614709844,-0.591,0.591,0.048125446,0.443949455,no,2,0,0
GYPC,mRNA,NW_005054298.1:12131524-12164843,+,-,4,12,3,-1.475,1.475,0.029309301,0.373128683,no,1,1,0
